#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
BHP,20130205,10:18:40.379,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:19:02.836,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:19:02.836,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:19:02.883,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:19:02.884,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:19:35.842,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:19:35.842,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:19:53.139,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:19:53.148,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:19:56.003,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:20:15.724,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:20:15.724,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:20:16.050,ENTER,37.34,1,,37.34,,,0,1,A,,,,,
BHP,20130205,10:20:17.365,ENTER,37.34,1,,37.34,,,0,1,B,,,,,
BHP,20130205,10:20:27.737,ENTER,37.33,1,,37.33,,,0,1,A,,,,,
BHP,20130205,10:20:27.737,ENTER,37.33,1,,37.33,,,0,1,B,,,,,
BHP,20130205,10:20:35.766,ENTER,37.32,1,,37.32,,,0,1,A,,,,,
BHP,20130205,10:20:35.766,ENTER,37.32,1,,37.32,,,0,1,B,,,,,
BHP,20130205,10:21:03.359,ENTER,37.32,1,,37.32,,,0,1,A,,,,,
BHP,20130205,10:21:10.599,ENTER,37.33,1,,37.33,,,0,1,B,,,,,
BHP,20130205,10:21:10.599,ENTER,37.33,1,,37.33,,,0,1,A,,,,,
BHP,20130205,10:21:35.707,ENTER,37.34,1,,37.34,,,0,1,B,,,,,
BHP,20130205,10:21:35.707,ENTER,37.34,1,,37.34,,,0,1,A,,,,,
BHP,20130205,10:21:40.430,ENTER,37.32,1,,37.32,,,0,1,B,,,,,
BHP,20130205,10:21:40.430,ENTER,37.31,1,,37.31,,,0,1,A,,,,,
BHP,20130205,10:21:40.430,ENTER,37.31,1,,37.31,,,0,1,B,,,,,
BHP,20130205,10:21:40.430,ENTER,37.3,1,,37.3,,,0,1,A,,,,,
BHP,20130205,10:21:41.265,ENTER,37.31,1,,37.31,,,0,1,B,,,,,
BHP,20130205,10:21:41.344,ENTER,37.31,1,,37.31,,,0,1,A,,,,,
BHP,20130205,10:21:45.432,ENTER,37.32,1,,37.32,,,0,1,B,,,,,
BHP,20130205,10:21:45.432,ENTER,37.32,1,,37.32,,,0,1,A,,,,,
BHP,20130205,10:21:49.538,ENTER,37.33,1,,37.33,,,0,1,B,,,,,
BHP,20130205,10:21:49.538,ENTER,37.33,1,,37.33,,,0,1,A,,,,,
BHP,20130205,10:21:52.962,ENTER,37.34,1,,37.34,,,0,1,B,,,,,
BHP,20130205,10:22:00.678,ENTER,37.34,1,,37.34,,,0,1,A,,,,,
BHP,20130205,10:22:04.664,ENTER,37.34,1,,37.34,,,0,1,B,,,,,
BHP,20130205,10:22:04.723,ENTER,37.34,1,,37.34,,,0,1,A,,,,,
BHP,20130205,10:22:28.906,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:22:49.648,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:22:49.671,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:22:49.706,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:22:50.891,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:22:50.891,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:23:19.131,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:23:24.280,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:23:24.280,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:23:26.074,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:23:34.075,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:23:34.075,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:23:37.174,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:23:40.748,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:23:45.998,ENTER,37.38,1,,37.38,,,0,1,B,,,,,
BHP,20130205,10:23:45.998,ENTER,37.38,1,,37.38,,,0,1,A,,,,,
BHP,20130205,10:24:00.544,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:24:17.158,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:24:28.026,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:24:39.859,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:24:42.718,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:24:53.133,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:24:53.133,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:25:47.611,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
